Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Neeko,Mage,SUPPORT,D,30.1,-12.25,0.4926,0.258,0.0084,0.0058,2.09
Nidalee,Assassin,JUNGLE,B,44.76,-1.11,0.4814,0.8846,0.0357,0.017,2.8
Nocturne,Assassin,JUNGLE,A,56.43,8.9,0.525,0.9339,0.0467,0.0346,2.63
Nunu,Tank,JUNGLE,A,48.59,1.32,0.4984,0.8748,0.0371,0.0188,2.78
Olaf,Fighter,JUNGLE,C,34.02,2.4,0.4765,0.8252,0.0126,0.0075,2.25
Olaf,Fighter,TOP,D,14.43,-0.76,0.4454,0.163,0.0024,0.0079,1.48
Orianna,Mage,MID,A,47.56,1.34,0.4907,0.9206,0.03,0.0023,2.53
Ornn,Tank,TOP,A,53.05,1.52,0.5153,0.924,0.0292,0.0044,2.29
Pantheon,Fighter,MID,B,45.72,4.28,0.5258,0.2321,0.0094,0.0085,2.25
Pantheon,Fighter,TOP,C,35.3,3.2,0.4986,0.2843,0.0096,0.0085,2.04
Pantheon,Fighter,SUPPORT,D,26.83,-7.13,0.465,0.4055,0.0177,0.0085,1.88
Poppy,Tank,JUNGLE,B,42.66,-2.06,0.4935,0.5566,0.0235,0.0191,2.59
Poppy,Tank,TOP,B,39.69,5,0.5064,0.3638,0.0134,0.0191,2.06
Pyke,Support,SUPPORT,God,76.21,21.82,0.493,0.8862,0.1043,0.1666,2.16
Qiyana,Assassin,MID,A,48.45,-1.74,0.4879,0.7031,0.0391,0.066,2.03
Qiyana,Assassin,JUNGLE,C,37.02,3.46,0.4861,0.2367,0.0129,0.066,2.36
Quinn,Marksman,TOP,B,41.99,-0.86,0.5128,0.8097,0.0169,0.0103,1.88
Rakan,Support,SUPPORT,A,49.54,0.39,0.4954,0.9795,0.0478,0.0039,2.81
Rammus,Tank,JUNGLE,A,48.49,3.28,0.5113,0.9512,0.0258,0.0392,2.83
Rek'Sai,Fighter,JUNGLE,A,47.52,-0.59,0.4994,0.9618,0.0372,0.0507,2.44
Rell,Tank,SUPPORT,B,40.46,-5.71,0.5165,0.9844,0.0182,0.0042,2.39
Renata Glasc,Support,SUPPORT,God,81.02,-11.9,0.5146,0.9684,0.1012,0.1488,2.71
Renekton,Fighter,TOP,B,44.73,-3.58,0.4755,0.8472,0.0359,0.0244,1.78
Renekton,Fighter,MID,C,38.5,1.19,0.4983,0.1375,0.0053,0.0244,2.07
Rengar,Assassin,JUNGLE,B,41.71,1.04,0.4803,0.7557,0.0366,0.0285,2.22
Rengar,Assassin,TOP,D,29.62,2.55,0.481,0.2062,0.0093,0.0285,1.83
Riven,Fighter,TOP,S,66.43,-1.88,0.5065,0.9027,0.0569,0.0347,1.89
Rumble,Fighter,MID,A,49.32,1.88,0.5389,0.3072,0.0076,0.0032,2.61
Rumble,Fighter,JUNGLE,C,35.29,3.63,0.4853,0.1205,0.0031,0.0032,2.63
Rumble,Fighter,TOP,D,32.2,2.09,0.4778,0.5433,0.0124,0.0032,2.05
Ryze,Mage,MID,B,41.91,-1.93,0.456,0.8423,0.0377,0.0063,2.15
Ryze,Mage,TOP,D,23.49,3.84,0.4654,0.1375,0.0061,0.0063,1.77
Samira,Marksman,ADC,A,58.84,13.32,0.5094,0.9651,0.0995,0.1315,2.29
Sejuani,Tank,JUNGLE,A,52.95,7.19,0.53,0.8201,0.0205,0.0032,3.25
Sejuani,Tank,TOP,D,33.45,0.78,0.4981,0.125,0.0028,0.0032,2.38
Senna,Marksman,SUPPORT,God,73.85,15.37,0.5168,0.9095,0.096,0.0481,2.63
